م,اسم شركة القطاع الخاص في المملكة بالعربي ,اسم شركة القطاع الخاص في المملكة بالإنجليزي
1018,شركة مقر هوتباك الإقليمي,HOTPACK PACKAGING INDUSTRIES LLC
1019,مقر اتش بي الشرق الأوسط وشمال افريقيا,HP MENA Regional Headquarters
1020,شركة مقر إتش كيو دبليو إس الإقليمي,HQWS RHQ
1021,مقر هواوي تكنولجيز العربية الإقليمي,Huawei Technologies Arabia Regional HQ Co Ltd
1022,مقر هايدرو أكسترودد سلوشن الإقليمي,Hydro Extruded Solutions AS
1023,شركة مقر هايفن الإقليمي,Hyphen regional HQ
1024,شركة مقر هيونداي للهندسة والإنشاءات,Hyundai Engineering and Construction Company
1025,فرع مقر شركة هيونداي للهندسة والإنشاءات,Hyundai Engineering and Construction Regional Headquarters Branch
1026,شركة مقر اي بي ام الشرق الأوسط و شمال,IBM North Gulf
1027,شركة مقر اي سي ام أي الإقليمي,ICME RHQ
1028,شركة مقر أيدوم الإقليمي,IDOM RHQ
1029,شركة مقر أي إف إس الإقليمي,IFS ME Regional Headquarter
1030,شركة مقر إماجينيشن الشرق الاوسط وشمال,Imagination MENA RHQ
1031,مقر ايمايل الاقليمي,iMile MENA Logistics
1032,شركة مقر اندرا الإقليمي,Indra Regional Headquarter
1033,شركة مقر انفوبيب الاقليمي,Infobip
1034,شركة مقر انفوسيستا دي دبليو سي الإقليمي,Infosysta DWC LLC RHQ
1035,شركة مقر انوفار الاقليمي,Inovar Saudi Regional Head Quarter
1036,شركة مقر انسترومينتشن لابورتوري اس بي أي,Instrumentation Laboratory SPA Regional Headquarter Company
1037,شركة مقر إنسوليت الشرق الأوسط وشمال,Insulet MENA Regional Headquarters
1038,مقر انترهيلث كندا الإقليمي,InterHealth Canada Limited
1039,شركة مقر الاتحاد الدولي للنقل الجوي,INTERNATIONAL AIR TRANSPORT ASSOCIATION IATA
1040,شركة مقر انتر سيرش الشرق الأوسط وشمال,InterSearch MENA Regional Headquarter
1041,شركة انترتك الشرق الأوسط وشمال إفريقيا,Intertek Middle East Regional Headquarter
1042,شركة مقر ايبسوس الشرق الأوسط وشمال,Ipsos MENA RHQ
1043,شركة مقر ايكيوفيا الإقليمي,IQVIA Healthcare Solutions
1044,مقر ايرون موينتين الإقليمي,Iron Mountain Regional Headquarter
1045,شركة مقر اي اس اس تي الكتريكال اند,ISST ELECTRICAL AND ELECTRONICS TRADING LLC
1046,شركة مقر ايطال كونسلت الشرق الاوسط وشمال,ITALCONSULT MEA
1047,مقر جيمس كوبيت الشرق الأوسط وشمال افريقيا الإقليمي,James Cubitt Middle East  North Africa LTD
1048,شركة مقر جنسن هيوز الإقليمي,JENSEN HUGHES INC
1049,شركة مقر جونسون اند جونسون الشرق الأوسط,Johnson and Johnson MENA RHQ Limited
1050,مقر جونسون كنترولز العربية الإقليمي,Headquarter Johnson Controls Arabia Regional
1051, مقر جونز لانغ لاسال الشرق الأوسط وشمال,Jones Lang LaSalle MENA Regional Headquarters
1052,شركة مقر جونيبر نيتوركس الإقليمي,Juniper Networks Regional Headquarter Company
1053,مقر جي دبليو الاقليمي,JW Global
1054,مقر كارل شتورز العربية الإقليمي,Karl Storz Arabia Regional Headquarter
1055,شركة مقر كاسبيرسكاي لابز الإقليمي,Kaspersky Labs Limited
1056,شركة مقر كيتا مينا الإقليمي,Keeta MENA Regional HQ
1057, شركة مقر كيلر الإقليمي,Keller Regional Headquarters Company
1058,شركة مقر كيلوج براون اند رووت الإقليمي,KELLOGG BROWN AND ROOT Regional Headquarters
1059,مقر خطيب وعلمي الإقليمي,Khatib and Alami
1060,شركة مقر كينج اند سبالدينج الإقليمي,King and Spalding Regional Headquarters
1061,مقر كيركلاند أند إليس الإقليمي,Kirkland and Ellis RHQ
1062,شركة مقر كلاود سبوت الإقليمي,KLOUDSPOT REGIONAL HQ
1063,شركة مقر كي ان دي اس العربية الإقليمي,KNDS Middle East Regional Headquarter
1064,شركة مقر نايت فرانك الإقليمي,Knight Frank Regional Head Quarter
1065,شركة مقر كوهلر الإقليمي,Kohler Middle East Regional Headquarters
1066,مقر كوني الإقليمي,KONE Gulf LLC
1067,شركة مقر كورن فيري الشرق الأوسط,Korn Ferry MENA HQ Limited
1068,مقر  كي بي ام جي الإقليمي,KPMG MESA ltd
1069,شركة كوك الاقليمي,KUOK MARITIME PTE LTD
1070,شركة مقر كندرل الشرق الأوسط وشمال,Kyndryl Middle East and Africa
1071,شركة مقر لاسكو الإقليمي,Laceco Regional for Regional Strategy
1072,شركة مقر لامور الإقليمي,Lamor Corporation AB Regional office
1073, شركة مقر ليثم آند واتكنز الإقليمي,Latham and Watkins Regional Headquarters Company
1074, شركة مقر لازارد الاقليمي,Lazard Regional Headquarter Company
1075,شركة مقر إل إي كيه الإقليمي,LEK Regional Headquarter
1076, شركة مقر لينوفو الشرق الأوسط وشمال,Lenovo MENA Regional Headquarter Company
1077,شركة مقر ليوناردو الشرق الأوسط,Leonardo Middle East Regional Headquarter
1078,شركة مقر إل جي الكترونكس الشرق الأوسط,LGE MEA RHQ
1079,شركة مقر ليبيليوم الشرق الأوسط وشمال,Libelium MENA Regional Headquarter
1080,شركة مقر ليند الإقليمي,Linde Regional Headquarters
1081,شركة مقر لينك دوت نت الإقليمي,LinkdotNet
1082,شركة مقر لنكشادو الإقليمي,linkshadow d m c c
1083,مقر لينكسون الإقليمي,Linxon RHQ
1084,شركة مقر ليكسيل يوروب سارل الشرق الاوسط,LIXIL Europe sarl MENA Regional Headquarter
1085,شركة مقر ال تي اي ماينتدري الإقليمي,LTIMindtree Limited
1086,شركة مقر لوسيد الشرق الأوسط وشمال,Lucid MENA RHQ
1087,شركة مقر لوسي إلكتريك الشرق الأوسط وشمال,Lucy Electric MENA Regional Headquarters
1088,شركة مقر لولو ستة اس بيه,Lulu 6 SPV LTD
1089, شركة مقر لوندبيك الاقليمي,Lundbeck Regional Headquarter Company
1090,شركة مقر لاكجري هوتيلز انترناشونال,Luxury Switzerland Holding Company GmbH
1091,شركة مقر ميس الإقليمي,MACE CONSULT RHQ ARABIA LLC
1092,مقر مكين انيرجي  الإقليمي,MAKEEN Energy AS
1093,شركة مقر مابا انسات في تيكارت انونيم,MAPA INSAAT VE TICARET ANONIM SIRKETI
1094,مارش ماكلینان العربیة لمقرات الشركات,Marsh McLennan Arabia Regional HQ
1095, مقر ماسيمو انترناشيونال اس ايه ار ال,Masimo International SARL Regional Headquarters
1096,مقر ماكسيموس الإقليمي,Maximus Gulf Regional Headquarter
1097,شركة مقر ماغرو هيل الإقليمي,McGraw Hill Regional Headquarters Company
1098,شركة مقر ماكينزي اند كومباني الإقليمي,McKinsey and Company Inc RHQ  KSA Branch
1099,مقر ميد إل الإقليمي,  MED EL Regional Head Quarter
1100, شركة مقر ميدلاين الاقليمي,Medline Regional Headquarter Company
1101,مقر ميدترونيك العربية الاقليمي,Medtronic Arabia
1102,شركة مقر ماينهاردت الإقليمي,Meinhardt arabia ltd
1103,شركة مقر ميركانز الإقليمي,Mercans Regional HQ
1104,شركة مقر ميرك الإقليمي,Merck Regional Headquarter
1105,شركة مقر ميريل لايف ساينسز الإقليمي,Meril Life Sciences Regional Headquarters
1106,شركة ميريت العربية ذات مسؤولية محدودة,Merit Incentives Holding LTD
1107,شركة مقر مايكل بيج انترناشيونال الإقليمي,Michael Page International Regional HQ
1108,شركة مقر مايكروسوفت الاقليمي,Microsoft Middle East and North Africa Software Solutions Regional Headquarters
1109,شركة مقر شبكة تواصل الشرق الأوسط,Middle East Communication Network Regional Headquarter
1110,شركة مقر إم دي اس الاقليمي,Middle East for Information Systems
1111,شركة مقر ميليمان الإقليمي,Milliman Riyadh Region RHQ
1112,شركة مقر مايند راي الشرق الأوسط وشمال,Mindray Middle East and North Africa Regional Headquarters LLC
1113, شركه مقر ميزوهو إم إي إيه الإقليمي,Mizuho MEA Regional Headquarters Company
1114,شركة مقر مونليكي الشرق الأوسط وشمال,Molnlycke Middle East and North Africa Regional Headquarter
1115,شركة مقر موت ماكدونالد ليميتد الإقليمي,Mott MacDonald Limited for Engineering Consultancy
1116, شركة مقر موساروبرا الاقليمي,Musarubra Regional Headquarter Company
1117,شركة مقر النساج المتحده المحدودة,Nas Tex Arabia Company
1118,شركة ناشونال انيرجي سيرفيسس ريونايتد,National Energy Services Reunited Corp
1119,شركة مقر نافر العربية الإقليمي,NAVER Arabia Regional Headquarters
1120,شركة مقر ان بي تي سوشل نتوركنق الإقليمي,NBT Social Networking KSA Regional HQ
1121,شركة مقر نستله العربية الوسطى الإقليمي,Nestl Central Arabia
1122, شركة مقر نت أب الاقليمي,NetApp Regional Headquarter Company
1123,شركة نيت ستار الدولية المحدودة,Netstar SG Pte Ltd
1124,شركة مقر نيو لاب الاقليمي,New Lab KSA Regional HQ
1125,شركة مقر نيهون كوهدين العربية الإقليمي,NIHON KOHDEN SAUDI ARABIA
1126, شركة مقر نينتكس الاقليمي,Nintex Regional Headquarter Company
1127,شركة مقر نيبرو الإقليمي,Nipro Company limited
1128,شركة مقر نوكيا الإقليمي,Nokia Regional Headquarter Company
1129,شركة مقر نورتال الإقليمي,Nortal Regional Head Quarter
1130,شركة مقر نورثكروفت الشرق الاوسط الإقليمي,Northcroft MEA RHQ
1131,مقر نورذن ترست الشرق الأوسط,Northern Trust MENA RHQ
1132,شركة مقر نورتون روز فلبرايت الإقليمي,Norton Rose Fulbright Regional Headquarter
1133,شركة مقر ان او في الإقليمي,NOV Regional Headquarter
1134, شركة مقر نوفارتس الإقليمي,Novartis Regional Headquarter Company
